Institute,Program,Predicted Closing Rank
"National Institute of Technology, Uttarakhand","Civil Engineering (4 Years, B.Tech)",29110
"National Institute of Technology, Uttarakhand","Mechanical Engineering (4 Years, B.Tech)",29110
"National Institute of Technology, Uttarakhand","Electronics and Communication Engineering (4 Years, B.Tech)",29110
"National Institute of Technology, Uttarakhand","Information Technology (4 Years, B.Tech)",29110
"National Institute of Technology, Uttarakhand","Computer Science and Engineering (4 Years, B.Tech)",29110
"National Institute of Technology, Srinagar","Computer Engineering (4 Years, B.Tech)",33219
"National Institute of Technology, Srinagar","Mechanical Engineering (4 Years, B.Tech)",33219
"National Institute of Technology, Srinagar","Civil Engineering (4 Years, B.Tech)",33219
"National Institute of Technology, Srinagar","Electrical Engineering (4 Years, B.Tech)",33219
"National Institute of Technology, Srinagar","Chemical Engineering (4 Years, B.Tech)",33219
"National Institute of Technology, Srinagar","Electrical and Electronics Engineering (4 Years, B.Tech)",33219
"National Institute of Technology, Srinagar","Metallurgical and Materials Engineering (4 Years, B.Tech)",33219
"National Institute of Technology, Srinagar","Information Technology (4 Years, B.Tech)",33219
"National Institute of Technology, Srinagar","Computer Science and Engineering (4 Years, B.Tech)",33219
"National Institute of Technology, Srinagar","Electronics and Communication Engineering (4 Years, B.Tech)",33219
"National Institute of Technology, Manipur","Information Technology (4 Years, B.Tech)",38201
"National Institute of Technology, Manipur","Metallurgical and Materials Engineering (4 Years, B.Tech)",38201
"National Institute of Technology, Manipur","Electrical and Electronics Engineering (4 Years, B.Tech)",38201
"National Institute of Technology, Manipur","Chemical Engineering (4 Years, B.Tech)",38201
"National Institute of Technology, Manipur","Computer Science and Engineering (4 Years, B.Tech)",38201
"National Institute of Technology, Manipur","Electrical Engineering (4 Years, B.Tech)",38201
"National Institute of Technology, Manipur","Civil Engineering (4 Years, B.Tech)",38201
"National Institute of Technology, Manipur","Mechanical Engineering (4 Years, B.Tech)",38201
"National Institute of Technology, Manipur","Computer Engineering (4 Years, B.Tech)",38201
"National Institute of Technology, Manipur","Electronics and Communication Engineering (4 Years, B.Tech)",38201
"National Institute of Technology, Mizoram","Chemical Engineering (4 Years, B.Tech)",46951
"National Institute of Technology, Mizoram","Information Technology (4 Years, B.Tech)",46951
"National Institute of Technology, Mizoram","Metallurgical and Materials Engineering (4 Years, B.Tech)",46951
"National Institute of Technology, Mizoram","Electrical Engineering (4 Years, B.Tech)",46951
"National Institute of Technology, Mizoram","Civil Engineering (4 Years, B.Tech)",46951
"National Institute of Technology, Mizoram","Mechanical Engineering (4 Years, B.Tech)",46951
"National Institute of Technology, Mizoram","Electronics and Communication Engineering (4 Years, B.Tech)",46951
"National Institute of Technology, Mizoram","Computer Science and Engineering (4 Years, B.Tech)",46951
"National Institute of Technology, Mizoram","Computer Engineering (4 Years, B.Tech)",46951
"National Institute of Technology, Mizoram","Electrical and Electronics Engineering (4 Years, B.Tech)",46951
